air_temp,brake_mean,compound,driver,drs_activations,fresh_tyre,gp_name,humidity,is_pit_lap,lap_number,lap_time,position,pressure,race_id,rpm_max,rpm_mean,season,sector_1_time,sector_2_time,sector_3_time,session_name,session_type,speed_max,speed_mean,stint,team,throttle_mean,track_status,track_temp,tyre_life,wind_dir,wind_speed
26.5,0.2024390243902439,MEDIUM,PER,0,,,,,37.0,97.248,,,2019_BHR,,10200.90243902439,2019,30.83,42.648,23.77,,,,198.8560975609756,3.0,Racing Point,64.01463414634146,,28.2,4.0,55.0,3.0
26.5,0.2048780487804878,MEDIUM,PER,0,,,,,38.0,97.252,,,2019_BHR,,10043.6,2019,30.841,42.614,23.797,,,,198.50975609756097,3.0,Racing Point,64.30975609756098,,28.1,5.0,28.0,2.3
26.4,0.2009803921568627,MEDIUM,PER,0,,,,,39.0,96.712,,,2019_BHR,,10181.634803921568,2019,30.812,42.24,23.66,,,,199.72794117647055,3.0,Racing Point,64.83823529411765,,28.0,6.0,45.0,2.4
26.4,0.2113022113022113,MEDIUM,PER,0,,,,,40.0,96.628,,,2019_BHR,,10152.746928746928,2019,30.812,42.143,23.673,,,,200.0638820638821,3.0,Racing Point,65.27764127764128,,28.0,7.0,45.0,2.4
26.4,0.20935960591133,MEDIUM,PER,0,,,,,41.0,96.441,,,2019_BHR,,10114.839901477832,2019,30.593,42.318,23.53,,,,200.32266009852216,3.0,Racing Point,65.04926108374384,,28.0,8.0,23.0,3.3
26.3,0.2034313725490196,MEDIUM,PER,0,,,,,42.0,96.419,,,2019_BHR,,10076.031862745098,2019,30.49,42.239,23.69,,,,200.77205882352945,3.0,Racing Point,65.74264705882354,,28.0,9.0,22.0,3.4
26.3,0.2039312039312039,MEDIUM,PER,0,,,,,43.0,96.568,,,2019_BHR,,10110.402948402949,2019,30.575,42.209,23.784,,,,200.23832923832924,3.0,Racing Point,65.73218673218673,,28.0,10.0,47.0,2.8
26.3,0.2246376811594203,MEDIUM,PER,27,,,,,44.0,98.298,,,2019_BHR,,9988.316425120773,2019,30.5,43.789,24.009,,,,196.68115942028984,3.0,Racing Point,60.30676328502416,,27.8,11.0,62.0,2.6
26.3,0.2493946731234866,MEDIUM,PER,90,,,,,45.0,97.871,,,2019_BHR,,10056.929782082325,2019,31.32,42.714,23.837,,,,197.34140435835351,3.0,Racing Point,60.11622276029056,,27.8,12.0,59.0,2.5
26.2,0.2098765432098765,MEDIUM,PER,27,,,,,46.0,96.348,,,2019_BHR,,10113.940740740742,2019,30.299,42.439,23.61,,,,200.74074074074076,3.0,Racing Point,65.12345679012346,,27.7,13.0,63.0,2.8
26.2,0.2049382716049382,MEDIUM,PER,0,,,,,47.0,96.462,,,2019_BHR,,10121.570370370371,2019,30.475,42.148,23.839,,,,201.25925925925927,3.0,Racing Point,66.1753086419753,,27.7,14.0,60.0,2.9
26.2,0.2034313725490196,MEDIUM,PER,0,,,,,48.0,96.529,,,2019_BHR,,10078.661764705885,2019,30.34,42.626,23.563,,,,200.67401960784315,3.0,Racing Point,65.95343137254902,,27.6,15.0,33.0,3.3
26.1,0.2039312039312039,MEDIUM,PER,0,,,,,49.0,96.627,,,2019_BHR,,10061.89434889435,2019,30.475,42.405,23.747,,,,200.2211302211302,3.0,Racing Point,65.30466830466831,,27.5,16.0,58.0,2.9
26.1,0.2014742014742014,MEDIUM,PER,0,,,,,50.0,96.468,,,2019_BHR,,10086.805896805898,2019,30.413,42.306,23.749,,,,200.7714987714988,3.0,Racing Point,65.75921375921376,,27.5,17.0,60.0,2.9
26.1,0.2004950495049505,MEDIUM,PER,0,,,,,51.0,96.33,,,2019_BHR,,10082.455445544554,2019,30.273,42.357,23.7,,,,200.81683168316832,3.0,Racing Point,66.86633663366337,,27.5,18.0,57.0,2.9
26.1,0.1970802919708029,MEDIUM,PER,0,,,,,52.0,97.153,,,2019_BHR,,10009.600973236007,2019,30.561,42.601,23.991,,,,198.95620437956205,3.0,Racing Point,66.30413625304136,,27.6,19.0,30.0,2.3
